N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
87,현대차2우B,"84,700","1,000",+1.19%,"5,000","30,903","36,485",60.13,"43,916",3.76,N/A,
88,현대오토에버,"111,000","7,500",+7.25%,500,"30,441","27,424",2.00,"58,170",39.31,7.26,
89,쌍용C&E,"6,010",140,+2.39%,100,"30,282","503,860",2.71,"590,715",25.57,11.12,
90,KODEX KOFR금리액티브(합성),"100,905",25,+0.02%,0,"30,027","29,758",0.00,"32,188",N/A,N/A,
91,NH투자증권,"9,050",60,+0.67%,"5,000","30,016","331,666",13.06,"415,219",4.66,14.77,
92,두산밥캣,"29,600","1,100",+3.86%,500,"29,674","100,249",26.00,"247,121",7.09,9.19,
93,현대로템,"26,950","1,650",+6.52%,"5,000","29,414","109,142",6.50,"3,872,239",35.18,5.01,
94,호텔신라,"74,500","2,600",+3.62%,"5,000","29,240","39,248",16.14,"263,915",89.33,4.51,
95,에스디바이오센서,"27,900","1,300",+4.89%,500,"28,813","103,271",14.22,"241,771",2.47,72.47,
96,한미약품,"232,000","3,000",+1.31%,"2,500","28,578","12,318",14.50,"29,863",36.26,8.75,
97,BGF리테일,"164,000","1,500",-0.91%,"1,000","28,346","17,284",31.52,"29,783",16.84,19.61,
98,포스코인터내셔널,"22,600","1,700",+8.13%,"5,000","27,883","123,375",9.68,"835,278",5.24,10.86,
99,삼성증권,"30,950",200,+0.65%,"5,000","27,638","89,300",26.82,"303,536",3.95,16.94,
100,메리츠금융지주,"21,600",750,+3.60%,500,"27,556","127,572",6.33,"239,441",2.90,22.33,
101,현대해상,"30,100",800,+2.73%,500,"26,909","89,400",32.74,"387,342",4.92,8.82,
102,한국금융지주,"47,900",400,+0.84%,"5,000","26,693","55,726",33.56,"169,402",2.01,27.12,
103,GS리테일,"25,400",200,-0.78%,"1,000","26,598","104,718",7.15,"142,325",3.29,25.58,
104,씨에스윈드,"62,900","2,200",+3.62%,500,"26,526","42,171",10.82,"184,506",152.67,10.13,
105,한진칼,"39,500","2,150",+5.76%,"2,500","26,371","66,762",15.98,"125,869",3.32,1.11,
106,제일기획,"22,750",50,+0.22%,200,"26,172","115,041",32.51,"155,464",14.25,15.58,
107,롯데쇼핑,"91,100","4,600",+5.32%,"5,000","25,771","28,289",12.44,"73,818",-22.43,-2.94,
108,팬오션,"4,815",315,+7.00%,"1,000","25,740","534,570",16.16,"2,831,576",3.25,17.16,
109,일진머티리얼즈,"53,200","2,400",+4.72%,500,"24,531","46,111",9.78,"380,187",41.66,7.85,
110,메리츠증권,"3,675",0,0.00%,"1,000","23,509","639,711",13.84,"1,483,510",3.21,15.77,
111,이마트,"83,900",0,0.00%,"5,000","23,388","27,876",27.03,"116,288",1.33,16.25,
112,신세계,"230,000","1,000",-0.43%,"5,000","22,644","9,845",27.30,"58,971",5.60,8.54,
113,OCI,"94,800","3,800",+4.18%,"5,000","22,609","23,849",10.63,"316,226",3.03,23.93,
114,KODEX 레버리지,"12,445",605,+5.11%,0,"22,507","180,850",1.49,"32,443,442",N/A,N/A,
115,에스원,"58,400",500,+0.86%,500,"22,192","37,999",53.30,"92,744",18.08,9.13,
116,한미사이언스,"32,150",600,+1.90%,500,"22,063","68,624",2.35,"68,847",42.81,6.37,
117,아모레G,"26,600",250,-0.93%,500,"21,934","82,458",14.71,"260,581",59.64,5.49,
118,한전기술,"56,900","1,500",+2.71%,200,"21,747","38,220",2.22,"119,964",127.58,3.25,
119,KCC,"241,000","9,500",+4.10%,"5,000","21,416","8,886",10.58,"22,857",-8.44,-0.92,
120,HL만도,"45,600","1,250",+2.82%,"1,000","21,412","46,957",21.17,"148,495",20.31,9.31,
121,TIGER 미국나스닥100,"72,525",745,+1.04%,0,"21,235","29,280",0.22,"118,636",N/A,N/A,
122,한화시스템,"11,150",100,+0.90%,"5,000","21,065","188,919",3.09,"914,468",113.78,6.04,
123,KODEX 200선물인버스2X,"3,685",185,-4.78%,0,"21,027","570,600",3.71,"220,259,551",N/A,N/A,
124,CJ대한통운,"92,000","1,600",+1.77%,"5,000","20,987","22,812",18.33,"72,426",11.51,1.59,
125,대우조선해양,"19,550",600,+3.17%,"5,000","20,975","107,291",2.63,"834,578",-1.87,-55.86,
126,LIG넥스원,"95,000","4,700",+5.20%,"5,000","20,900","22,000",11.63,"239,887",14.06,14.63,
127,현대차우,"85,400","1,300",+1.55%,"5,000","20,801","24,357",57.86,"31,571",3.79,N/A,
128,CJ,"70,700","1,200",+1.73%,"5,000","20,628","29,177",17.49,"23,660",7.79,5.66,
129,동서,"20,600",200,-0.96%,500,"20,538","99,700",3.12,"44,984",17.70,8.05,
130,키움증권,"77,400","1,700",+2.25%,"5,000","20,294","26,220",24.64,"36,006",3.35,25.38,
131,GS건설,"23,600","1,050",+4.66%,"5,000","20,197","85,581",32.68,"1,131,165",4.17,9.32,
132,BNK금융지주,"6,180",160,+2.66%,"5,000","20,143","325,935",35.96,"917,166",2.43,8.76,
133,영원무역,"45,200",600,+1.35%,500,"20,029","44,311",29.24,"101,388",4.39,14.71,
134,LG화학우,"260,000","8,000",+3.17%,"5,000","19,991","7,689",70.35,"7,011",9.17,N/A,
135,한솔케미칼,"176,000","6,000",+3.53%,"5,000","19,950","11,335",37.84,"51,069",13.16,23.88,
136,두산퓨얼셀,"29,550",950,+3.32%,100,"19,353","65,494",15.02,"208,267",250.42,1.69,
137,한화,"25,350",900,+3.68%,"5,000","19,002","74,959",17.13,"229,259",2.37,20.22,
138,하이트진로,"26,850",350,+1.32%,"5,000","18,831","70,134",12.84,"98,810",19.99,6.62,
139,TIGER 200,"28,970",685,+2.42%,0,"18,758","64,750",0.00,"817,201",N/A,N/A,
140,LS,"57,900","1,200",+2.12%,"5,000","18,644","32,200",14.20,"56,174",5.81,8.15,
141,대한전선,"1,485",35,+2.41%,100,"18,480","1,244,473",1.99,"5,283,819",39.08,7.78,
142,한화생명,"2,125",35,+1.67%,"5,000","18,456","868,530",7.34,"595,276",1.76,10.79,
143,휠라홀딩스,"30,300","1,000",-3.19%,"1,000","18,408","60,752",40.21,"553,508",8.77,16.20,
144,TIGER 미국S&P500,"13,310",180,+1.37%,0,"18,388","138,150",0.18,"766,175",N/A,N/A,
145,대웅제약,"158,000",0,0.00%,"2,500","18,307","11,587",8.61,"24,055",25.17,4.39,
146,농심,"297,500",500,-0.17%,"5,000","18,096","6,083",13.19,"18,682",15.97,4.73,
147,대우건설,"4,255",135,+3.28%,"5,000","17,685","415,623",10.74,"968,800",4.21,16.47,
148,TIGER 단기통안채,"101,405",25,+0.02%,0,"17,609","17,365",4.37,"539,567",N/A,N/A,
149,DB하이텍,"39,650","2,300",+6.16%,"5,000","17,604","44,399",23.61,"856,222",3.33,33.35,
150,현대위아,"62,700","2,600",+4.33%,"5,000","17,051","27,195",9.96,"156,798",7.54,1.96,
151,오뚜기,"461,000",0,0.00%,"5,000","16,928","3,672",11.97,"2,495",11.32,8.91,
152,TIGER TOP10,"9,420",115,+1.24%,0,"16,786","178,200",3.53,"313,459",N/A,N/A,
153,SK케미칼,"92,300","1,300",+1.43%,"5,000","16,264","17,621",16.97,"47,006",12.29,11.19,
154,한전KPS,"35,500",800,+2.31%,200,"15,975","45,000",5.66,"95,132",23.56,9.12,
155,LX인터내셔널,"41,200","2,300",+5.91%,"5,000","15,969","38,760",30.67,"297,261",3.05,22.49,
156,KODEX 삼성그룹,"8,005",185,+2.37%,0,"15,666","195,700",3.87,"634,163",N/A,N/A,
157,KODEX 단기채권PLUS,"104,135",10,+0.01%,0,"15,649","15,028",0.00,"413,571",N/A,N/A,
158,코스모신소재,"50,800",300,+0.59%,"1,000","15,571","30,651",9.51,"719,026",63.03,9.42,
159,에스엘,"32,950",650,+2.01%,500,"15,305","46,449",17.00,"107,505",15.02,6.63,
160,서울가스,"297,500","4,000",+1.36%,"5,000","14,875","5,000",3.58,"8,207",73.51,0.80,
161,롯데정밀화학,"57,600","1,300",+2.31%,"5,000","14,861","25,800",19.70,"75,317",3.03,30.43,
162,효성,"70,400",400,+0.57%,"5,000","14,834","21,071",4.85,"70,154",4.96,18.04,
163,TIGER CD금리투자KIS(합성),"51,250",0,0.00%,0,"14,823","28,922",0.00,"16,774",N/A,N/A,
164,KODEX 200TR,"9,665",230,+2.44%,0,"14,657","151,650",0.12,"313,170",N/A,N/A,
165,녹십자,"125,000","1,500",+1.21%,"5,000","14,608","11,687",22.54,"31,762",11.71,10.30,
166,LS ELECTRIC,"48,650","1,950",+4.18%,"5,000","14,595","30,000",12.49,"80,776",15.79,5.86,
167,롯데칠성,"156,000","3,500",-2.19%,500,"14,475","9,279",12.21,"30,423",9.52,9.96,
168,대성홀딩스,"88,200",300,-0.34%,"1,000","14,191","16,089",3.84,"51,934",61.85,3.61,
169,효성첨단소재,"316,000","8,500",+2.76%,"5,000","14,157","4,480",6.26,"26,320",6.04,54.69,
170,TIGER 미국필라델피아반도체나스닥,"9,315",235,+2.59%,0,"14,098","151,350",0.19,"638,662",N/A,N/A,
171,TIGER 미국테크TOP10 INDXX,"10,515",30,+0.29%,0,"14,043","133,550",0.38,"518,996",N/A,N/A,
172,JB금융지주,"7,040",80,+1.15%,"5,000","13,868","196,983",27.06,"106,543",2.53,12.80,
173,DL이앤씨,"35,800","1,500",+4.37%,"5,000","13,852","38,694",22.23,"174,697",2.94,N/A,
174,동원시스템즈,"46,700",900,+1.97%,"5,000","13,539","28,991",13.19,"11,979",29.13,6.95,
175,두산,"80,000","1,100",-1.36%,"5,000","13,219","16,524",6.93,"350,643",-16.12,11.08,
176,현대백화점,"55,000",600,+1.10%,"5,000","12,871","23,402",21.95,"42,300",6.02,4.36,
177,롯데제과,"136,000","2,500",-1.81%,500,"12,831","9,435",14.64,"13,495",26.41,2.88,
178,DL,"58,500","1,200",+2.09%,"5,000","12,259","20,956",9.39,"69,547",7.88,26.52,
179,영풍,"665,000","27,000",+4.23%,"5,000","12,250","1,842",3.87,"4,124",6.84,3.66,
180,대웅,"21,000",50,+0.24%,500,"12,210","58,142",4.49,"26,081",10.83,11.13,
181,KODEX 종합채권(AA-이상)액티브,"99,235",395,+0.40%,0,"12,206","12,300",0.00,"20,932",N/A,N/A,
182,코오롱인더,"44,150","1,850",+4.37%,"5,000","12,150","27,519",17.13,"100,843",7.00,8.20,
183,한미반도체,"12,150","1,350",+12.50%,100,"12,019","98,920",5.17,"734,759",10.65,34.59,
184,현대일렉트릭,"33,300","1,450",+4.55%,"5,000","12,004","36,047",11.07,"413,744",-25.13,-5.08,
185,한국앤컴퍼니,"12,550",100,+0.80%,500,"11,914","94,935",9.26,"42,735",5.27,5.53,
186,롯데리츠,"4,900",0,0.00%,500,"11,905","242,969",10.84,"258,162",62.82,1.65,
187,DGB금융지주,"7,000",30,+0.43%,"5,000","11,840","169,146",46.13,"422,158",2.32,9.63,
188,KODEX 2차전지산업,"17,570",595,+3.51%,0,"11,807","67,200",0.06,"1,265,979",N/A,N/A,
189,효성티앤씨,"270,500","11,500",+4.44%,"5,000","11,706","4,328",9.36,"21,486",2.39,76.22,
190,롯데렌탈,"31,800",700,+2.25%,"5,000","11,650","36,634",4.78,"25,252",7.79,12.28,
191,후성,"12,500",650,+5.49%,500,"11,576","92,607",7.64,"846,973",15.53,9.61,
192,TIGER 2차전지테마,"16,825",600,+3.70%,0,"11,483","68,250",0.03,"759,450",N/A,N/A,
193,KODEX 단기채권,"103,750",15,+0.01%,0,"11,349","10,939",0.59,"2,023,081",N/A,N/A,
194,삼천리,"279,500","12,000",+4.49%,"5,000","11,334","4,055",14.74,"28,390",15.09,4.52,
195,신풍제약,"20,800",900,+4.52%,500,"11,021","52,985",5.68,"307,966",-49.17,-3.19,
196,동국제강,"11,450",650,+6.02%,"5,000","10,927","95,433",22.67,"449,341",1.38,23.41,
197,솔루스첨단소재,"31,050","1,150",+3.85%,100,"10,902","35,111",5.91,"80,813",139.24,4.00,
198,ESR켄달스퀘어리츠,"5,110",60,+1.19%,"1,000","10,889","213,089",52.60,"172,860",35.00,3.24,
199,대덕전자,"22,000",750,+3.53%,500,"10,872","49,417",19.36,"542,785",8.54,9.55,
200,일진하이솔루스,"29,750",350,+1.19%,500,"10,803","36,313",1.37,"79,017",120.93,4.97,
